source_id,transformation_name,step_name,connection
117,fact_environmental_totals_pre,fact_environmental_totals_pre,fender_prod
118,fact_environmental_totals_pre,fact_f1stat_operational_distributed,datamarts
119,fact_environmental_totals_pre,Database lookup,datamarts
120,fact_environmental_totals_pre,Database lookup 2,fender_prod
121,fact_environmental_totals_pre,fuel_type_id,fender_prod
122,fact_environmental_totals_pre,dim_vessel,datamarts
123,fact_environmental_totals_pre,fact_environmental_totals_pre,fender_test
124,fact_environmental_totals_pre,fact_f1stat_operational_distributed,datamarts
125,fact_environmental_totals_pre,Database lookup,datamarts
126,fact_environmental_totals_pre,Database lookup 2,fender_test
127,fact_environmental_totals_pre,fuel_type_id,fender_test
128,fact_environmental_totals_pre,dim_vessel,datamarts
129,fact_environmental_totals_pre,fact_environmental_totals_pre,fender_dev
130,fact_environmental_totals_pre,fact_f1stat_operational_distributed,datamarts
131,fact_environmental_totals_pre,Database lookup,datamarts
132,fact_environmental_totals_pre,Database lookup 2,fender_dev
133,fact_environmental_totals_pre,fuel_type_id,fender_dev
134,fact_f1statistikk,AGRESSO.F1STATISTIKK,agresso_m7_read
135,fact_f1statistikk_financial,AGRESSO.F1STATISTIKK,agresso_m7_read
136,fact_f1statistikk_operational,AGRESSO.F1STATISTIKK,agresso_m7_read
137,fact_f1stat_distributed,dim_f1stat_financial_key_hours,datamarts
138,fact_f1stat_distributed,fact_f1statistikk,datamarts
139,fact_f1stat_financial_distributed,dim_f1stat_financial_key_hours (B),datamarts
140,fact_f1stat_financial_distributed,dim_f1stat_financial_key_hours (R),datamarts
141,fact_f1stat_financial_distributed,fact_f1statistikk_financial,datamarts
142,fact_f1stat_financial_distributed,fact_f1statistikk_financial 2,datamarts
143,fact_f1stat_financial_distributed,fact_f1statistikk_financial 2 2,agresso_m7_read
144,fact_f1stat_operational_distributed,dim_f1stat_operational_key_hours,datamarts
145,fact_f1stat_operational_distributed,fact_f1statistikk_operational,datamarts
146,fact_fdb,work_fdb_trafikkdata,work
147,fact_fdb,work_connections_rel,work
148,fact_fdb,work_connections_rel 2,work
149,fact_fdb_samband,work_connections_rel,work
150,fact_fdb_samband,work_fdb_samband,work
151,fact_fender_environmental_corrections,fact_environmental_corrections,fender_prod
152,fact_fender_environmental_corrections,fact_environmental_fuel_corrections,fender_prod
153,fact_fender_environmental_corrections,Database lookup,datamarts
154,fact_fender_environmental_corrections,fuel_types,fender_prod
155,fact_fender_gpstrips,fact_shiplog_gps_trips,datamarts
156,fact_fender_gpstrips,fact_shiplog_gps_trips,datamarts
157,fact_fender_gpstrips,fact_shiplog_gps_trips,datamarts
158,fact_fender_trips,fact_shiplog_route_deviations,datamarts
159,fact_fender_trips,fact_trips 2,datamarts
160,fact_fender_trips,fact_trips_schedule 2 2,datamarts
161,fact_fender_trips,fact_shiplog_route_deviations,datamarts
162,fact_fender_trips,fact_trips,datamarts
163,fact_fender_trips,fact_trips_schedule 2,datamarts
164,fact_fender_trips,fact_shiplog_route_deviations,datamarts
165,fact_fender_trips,fact_trips 2,datamarts
166,fact_fender_trips,fact_trips_schedule 2 2,datamarts
167,fact_miljoverdier_f1stat_financial,anlop bud,datamarts
168,fact_miljoverdier_f1stat_financial,f1stat_key_B,datamarts
169,fact_miljoverdier_f1stat_financial,f1stat_key_R,datamarts
170,fact_miljoverdier_f1stat_financial,f1stat_rådata fuel,datamarts
171,fact_miljoverdier_f1stat_financial,factors,datamarts
172,fact_miljoverdier_f1stat_operational,anlop bud,datamarts
173,fact_miljoverdier_f1stat_operational,f1stat_key_B,datamarts
174,fact_miljoverdier_f1stat_operational,f1stat_key_R,datamarts
175,fact_miljoverdier_f1stat_operational,f1stat_rådata fuel_financial,datamarts
176,fact_miljoverdier_f1stat_operational,f1stat_rådata fuel_operational,datamarts
177,fact_miljoverdier_f1stat_operational,factors,datamarts
178,fact_samtaler,fact_employees,datamarts
179,fact_schedule,aprhistr (earned hours),work
180,fact_schedule,aprhistr (overtime hours),work
181,fact_schedule,fact_employee_absence_category,datamarts
182,fact_schedule,fact_employee_absence_category 2,datamarts
183,fact_schedule,schedule,work
184,fact_schedule,work_ahsrelvalue,work
185,fact_schedule,Lookup absence,work
186,fact_schedule,ansattform,work
187,fact_schedule,ansettelsestype,datamarts
188,fact_schedule,dim_godkjenner_koststed,datamarts
189,fact_schedule,lookup post description,work
190,fact_schedule,lookup resource name,work
191,fact_schedule,work_vessel_rel,work
192,fact_shiplog_route_deviations,dim_connections,datamarts
193,fact_shiplog_route_deviations,dim_connections 2 2,datamarts
194,fact_shiplog_route_deviations,dim_connections 2 2 2,datamarts
195,fact_shiplog_route_deviations,dim_connections 2 2 2 2,datamarts
196,fact_shiplog_route_deviations,dim_connections 2 2 2 2 2,datamarts
197,fact_shiplog_route_deviations,fact_shiplog_cancelled_trips,datamarts
198,fact_shiplog_route_deviations,fact_shiplog_trips,datamarts
199,fact_shiplog_route_deviations,fact_shiplog_trips 2,datamarts
200,fact_shiplog_route_deviations,fact_shiplog_trips 2 2,datamarts
201,fact_shiplog_route_deviations,fact_shiplog_trips 2 2 2,datamarts
202,fact_shiplog_route_deviations,work_fender_deviations (dev),fender_dev
203,fact_shiplog_route_deviations,work_fender_deviations (prod),fender_prod
204,fact_shiplog_route_deviations,work_fender_deviations (test),fender_test
205,fact_tickets,hist_mellomsystemet_tickets,history
206,fact_tickets,work_mellomsystemet_tickets,work
207,fact_trafikkmeldinger,dim_connections,datamarts
208,fact_trafikkmeldinger,work_trafikkmeldinger,work
209,fact_trafikkmeldinger,Database lookup,datamarts
210,get_all_environmental_corrections,access_token,fender_prod
211,get_all_environmental_corrections,fact_environmental_corrections,fender_prod
212,get_all_environmental_corrections,fact_environmental_corrections 2,fender_prod
213,get_all_environmental_corrections,vessel_id,datamarts
214,get_all_environmental_corrections,access_token,fender_test
215,get_all_environmental_corrections,fact_environmental_corrections,fender_test
216,get_all_environmental_corrections,fact_environmental_corrections 2,fender_test
217,get_all_environmental_corrections,vessel_id,datamarts
218,get_all_environmental_corrections,access_token,fender_dev
219,get_all_environmental_corrections,fact_environmental_corrections,fender_dev
220,get_all_environmental_corrections,fact_environmental_corrections 2,fender_dev
221,get_all_environmental_corrections,vessel_id,datamarts
222,get_deviation_hashes,Table input,fender_test
223,get_deviation_hashes,access_token 2,fender_test
224,get_deviation_hashes,Database lookup 2,fender_test
225,get_deviation_hashes,Table input,fender_dev
226,get_deviation_hashes,access_token 2,fender_dev
227,get_deviation_hashes,Database lookup,fender_dev
228,get_deviation_hashes,Table input,fender_prod
229,get_deviation_hashes,access_token 2,fender_prod
230,get_deviation_hashes,Database lookup 2,fender_prod
231,get_environmental_corrections,access_token,fender_prod
232,get_environmental_corrections,fact_environmental_corrections,fender_prod
233,get_environmental_corrections,vessel_id,datamarts
234,get_environmental_corrections,access_token,fender_test
235,get_environmental_corrections,fact_environmental_corrections,fender_test
236,get_environmental_corrections,vessel_id,datamarts
237,get_environmental_corrections,access_token,fender_dev
238,get_environmental_corrections,fact_environmental_corrections,fender_dev
239,get_environmental_corrections,vessel_id,datamarts
240,get_environmental_totals,access_token,fender_prod
241,get_environmental_totals,fact_environmental_totals,fender_prod
242,get_environmental_totals,access_token,fender_test
243,get_environmental_totals,fact_environmental_totals,fender_test
244,get_environmental_totals,access_token,fender_dev
245,get_environmental_totals,fact_environmental_totals,fender_dev
246,get_gpstrips_hashes,access_token 2,fender_test
247,get_gpstrips_hashes,access_token 2,fender_dev
248,get_gpstrips_hashes,access_token 2,fender_prod
249,get_rutesett_hashes,access_token 2,fender_test
250,get_rutesett_hashes,Table input,fender_prod
251,get_rutesett_hashes,access_token 2 2,fender_prod
252,get_rutesett_hashes,Database lookup 2,fender_prod
253,get_rutesett_hashes,access_token 2,fender_dev
254,get_trafikkmeldinger_hashes,access_token 2,fender_test
255,get_trafikkmeldinger_hashes,access_token 2,fender_prod
256,get_trafikkmeldinger_hashes,access_token 2,fender_dev
257,hist_mellomsystemet_tickets,mellomsystemet,mellomsystemet
258,hist_mellomsystemet_tickets,dim_agldimvalue4 2,datamarts
259,hist_mellomsystemet_tickets,dim_anbud 2,datamarts
260,send_connections,access_token,fender_test
261,send_connections,dim_connections,datamarts
262,send_connections,access_token,fender_prod
263,send_connections,dim_connections,datamarts
264,send_connections,access_token,fender_dev
265,send_connections,dim_connections,datamarts
266,send_environmental_autogenerated_corrections,access_token,fender_prod
267,send_environmental_autogenerated_corrections,corrections,fender_prod
268,send_environmental_autogenerated_corrections,fact_environmental_totals_pre,fender_prod
269,send_environmental_autogenerated_corrections,access_token,fender_test
270,send_environmental_autogenerated_corrections,corrections,fender_test
271,send_environmental_autogenerated_corrections,fact_environmental_totals_pre,fender_test
272,send_environmental_autogenerated_corrections,access_token,fender_dev
273,send_environmental_autogenerated_corrections,corrections,fender_dev
274,send_environmental_autogenerated_corrections,fact_environmental_totals_pre,fender_dev
275,send_environmental_totals,access_token,fender_prod
276,send_environmental_totals,fact_environmental_corrections (fuel),fender_prod
277,send_environmental_totals,fact_environmental_corrections (trips),fender_prod
278,send_environmental_totals,fact_environmental_totals_pre,fender_prod
279,send_environmental_totals,fact_environmental_totals_pre 2,fender_prod
280,send_environmental_totals,fuel_types,fender_prod
281,send_environmental_totals,nox_metan_factor,datamarts
282,send_environmental_totals,trigger 2,fender_prod
283,send_environmental_totals,Database lookup 2,fender_prod
284,send_environmental_totals,fuel_type_id 2,fender_prod
285,send_environmental_totals,access_token,fender_test
286,send_environmental_totals,fact_environmental_corrections (fuel),fender_test
287,send_environmental_totals,fact_environmental_corrections (trips),fender_test
288,send_environmental_totals,fact_environmental_totals_pre,fender_test
289,send_environmental_totals,fact_environmental_totals_pre 2,fender_test
290,send_environmental_totals,fuel_types,fender_test
291,send_environmental_totals,nox_metan_factor,datamarts
292,send_environmental_totals,trigger 2,fender_test
293,send_environmental_totals,Database lookup 2,fender_test
294,send_environmental_totals,fuel_type_id 2,fender_test
295,send_environmental_totals,access_token,fender_dev
296,send_environmental_totals,fact_environmental_corrections (fuel),fender_dev
297,send_environmental_totals,fact_environmental_corrections (trips),fender_dev
298,send_environmental_totals,fact_environmental_totals_pre,fender_dev
299,send_environmental_totals,fact_environmental_totals_pre 2,fender_dev
300,send_environmental_totals,fuel_types,fender_dev
301,send_environmental_totals,nox_metan_factor,datamarts
302,send_environmental_totals,trigger 2,fender_dev
303,send_environmental_totals,Database lookup 2,fender_dev
304,send_environmental_totals,fuel_type_id 2,fender_dev
305,send_external_reasons,access_token,fender_test
306,send_external_reasons,fact_shiplog_route_deviations,datamarts
307,send_external_reasons,access_token,fender_dev
308,send_external_reasons,fact_shiplog_route_deviations,datamarts
309,send_external_reasons,access_token,fender_prod
310,send_external_reasons,fact_shiplog_route_deviations,datamarts
